Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
929,Text,1997-06-01,The Real Cyberpunk Fakebook,en,"Nagel, Bart; Sirius, R. U., 1952-; St. Jude",Computer hackers; Computers and civilization,QA,
930,Text,1997-06-01,"The Cook's Decameron
A Study in Taste, Containing over Two Hundred Recipes for Italian Dishes",en,"Waters, W. G., Mrs.","Cooking, Italian",TX,Cookbooks and Cooking
931,Text,1997-06-01,The Bab Ballads,en,"Gilbert, W. S. (William Schwenck), 1836-1911","English wit and humor; Humorous poetry, English",PR,
932,Text,1997-06-01,The Fall of the House of Usher,en,"Poe, Edgar Allan, 1809-1849",Short stories; Horror tales; Gothic fiction,PS,Movie Books
933,Text,1997-06-01,More Bab Ballads,en,"Gilbert, W. S. (William Schwenck), 1836-1911","English wit and humor; Humorous poetry, English",PR,
934,Text,1997-06-01,Songs of a Savoyard,en,"Gilbert, W. S. (William Schwenck), 1836-1911","English wit and humor; Humorous poetry, English; Songs, English -- Texts",PR,
935,Text,1997-06-01,Self Help; with Illustrations of Conduct and Perseverance,en,"Smiles, Samuel, 1812-1904",Conduct of life,BJ,
936,Text,1997-06-01,The Village Watch-Tower,en,"Wiggin, Kate Douglas Smith, 1856-1923",Short stories; United States -- Social life and customs -- 19th century -- Fiction,PS,
937,Text,1997-06-01,"Poems: Patriotic, Religious, Miscellaneous",en,"Ryan, Abram Joseph, 1839-1886","United States -- History -- Civil War, 1861-1865 -- Poetry; American poetry -- 19th century; Patriotism -- Poetry; Religion -- Poetry",PS,
938,Text,1997-06-01,Good Indian,en,"Bower, B. M., 1871-1940",Western stories; Ranch life -- Fiction; Idaho -- Fiction,PS,Western
939,Text,1997-06-01,"The Life of Thomas Telford, Civil Engineer
With an Introductory History of Roads and Travelling in Great Britain",en,"Smiles, Samuel, 1812-1904","Telford, Thomas, 1757-1834; Roads -- Great Britain; Civil engineers -- Great Britain -- Biography",TA,
940,Text,2006-02-05,The Last of the Mohicans; A narrative of 1757,en,"Cooper, James Fenimore, 1789-1851","Historical fiction; War stories; United States -- History -- French and Indian War, 1754-1763 -- Fiction; Adventure stories; Frontier and pioneer life -- Fiction; Bumppo, Natty (Fictitious character) -- Fiction; Mohegan Indians -- Fiction",PS,Historical Fiction
941,Text,1997-06-01,Just Folks,en,"Guest, Edgar A. (Edgar Albert), 1881-1959",American poetry,PS,
